"name","Alien","Amidar","Assault","Asterix","Asteroids","Atlantis","Bank Heist","Battle Zone","Beam Rider","Bowling","Boxing","Breakout","Centipede","Chopper Command","Crazy Climber","Demon Attack","Double Dunk","Enduro","Fishing Derby","Freeway","Frostbite","Gopher","Gravitar","Ice Hockey","Kangaroo","Krull","Montezuma's Revenge","Name This Game","Pong","Private Eye","Q*Bert","River Raid","Road Runner","Robotank","Seaquest","Space Invaders","Star Gunner","Tennis","Time Pilot","Tutankham","Up and Down","Venture","Video Pinball","Wizard of Wor","Zaxxon"
"A3C-CTS",1945.66,861.14,2584.4,7922.7,2406.57,1801392.35,1182.89,7969.06,6723.89,75.97,15.75,473.93,5442.94,5088.17,112885.03,30930.33,-7.84,694.83,31.11,30.48,325.42,6611.28,238.68,-6.45,4883.53,8605.27,273.7,7021.3,20.75,99.32,19257.55,10712.54,50645.74,7.68,2015.55,1531.64,55233.43,-23.06,4103,112.14,23106.24,0,97372.8,3355.09,7451.25
"Best linear",939.2,103.4,628,987.3,907.3,62687,190.8,15820,929.4,43.9,44,5.2,8803,1582,23411,520.5,-13.1,129.1,-89.5,19.1,216.9,1288,387.7,-9.5,1622,3372,10.7,2500,-19,684.3,613.5,1904,67.7,28.7,664.8,250.1,1070,-0.1,3741,114.3,3533,66,16871,1981,3365
"C51 noop",3166,1735,7203,406211,1516,841075,976,28742,14074,81.8,97.8,748,9646,15600,179877,130955,2.5,3454,8.9,33.9,3965,33641,440,-3.5,12853,9735,0,12542,20.9,15095,23784,17322,55839,52.3,266434,5747,49095,23.1,8329,280,15612,1520,949604,9300,10513
"DDQN (tuned) noop",3747.7,1793.3,5393.2,17356.5,734.7,106056,1030.6,31700,13772.8,68.1,91.6,418.5,5409.4,5809,117282,58044.2,-5.5,1211.8,15.5,33.3,1683.3,14840.8,412,-2.7,12992,7920.5,0,10616,20.9,129.7,15088.5,14884.5,44127,65.1,16452.7,2525.5,60142,-22.8,8339,218.4,22972.2,98,309941.9,7492,10163
"DDQN+Pop-Art noop",3213.5,782.5,9011.6,18919.5,2869.3,340076,1103.3,8220,8299.4,102.1,99.3,344.1,49065.8,775,119679,63644.9,-11.5,2002.1,45.1,33.4,3469.6,56218.2,483.5,-4.1,13150,9745.1,0,15851.2,20.6,286.7,5236.8,12530.8,47770,64.3,10932.3,2589.7,589,12.1,4870,183.9,22474.4,1172,56287,483,14402
"DQN noop",1620,978,4280.4,4359,1364.5,279987,455,29900,8627.5,50.4,88,385.5,4657.7,6126,110763,12149.4,-6.6,729,-4.9,30.8,797.4,8777.4,473,-1.9,7259,8422.3,0,8207.8,19.5,146.7,13117.3,7377.6,39544,63.9,5860.6,1692.3,54282,12.2,4870,68.1,9989.9,163,196760.4,2704,5363
"Duel noop",4461.4,2354.5,4621,28188,2837.7,382572,1611.9,37150,12164,65.5,99.4,345.3,7561.4,11215,143570,60813.3,0.1,2258.2,46.4,0,4672.8,15718.4,588,0.5,14854,11451.9,0,11971.1,21,103,19220.3,21162.6,69524,65.3,50254.2,6427.3,89238,5.1,11666,211.4,44939.6,497,98209.5,7855,12944
"ES FF (1 hour) noop",994,112,1673.9,1440,1562,1267410,225,16600,744,30,49.8,9.5,7783.9,3710,26430,1166.5,0.2,95,-49,31,370,582,805,-4.1,11200,8647.2,0,4503,21,100,147.5,5009,16590,11.9,1390,678.5,1470,-4.5,4970,130.3,67974,760,22834.8,3480,6380
"Gorila",813.5,189.2,1195.8,3324.7,933.6,629166.5,399.4,19938,3822.1,54,74.2,313,6296.9,3191.8,65451,14880.1,-11.3,71,4.6,10.2,426.6,4373,538.4,-1.7,1431,6363.1,84,9238.5,16.7,2598.6,7089.8,5310.3,43079.8,61.8,10145.9,1183.3,14919.2,-0.7,8267.8,118.5,8747.7,523.4,112093.4,10431,6159.4
"human.noop",7127.7,1719.5,742,8503.3,47388.7,29028.1,753.1,37187.5,16926.5,160.7,12.1,30.5,12017,7387.8,35829.4,1971,-16.4,860.5,-38.7,29.6,4334.7,2412.5,3351.4,0.9,3035,2665.5,4753.3,8049,14.6,69571.3,13455,17118,7845,11.9,42054.7,1668.7,10250,-8.3,5229.2,167.6,11693.2,1187.5,17667.9,4756.5,9173.3
"Nature DQN",3069,739.5,3359,6012,1629,85641,429.7,26300,6846,42.4,71.8,401.2,8309,6687,114103,9711,-18.1,301.8,-0.8,30.3,328.3,8520,306.7,-1.6,6740,3805,0,7257,18.9,1788,10596,8316,18257,51.6,5286,1976,57997,-2.5,5947,186.7,8456,380,42684,3393,4977
"Prior noop",4203.8,1838.9,7672.1,31527,2654.3,357324,1054.6,31530,23384.2,47.9,95.6,373.9,4463.2,8600,141161,71846.4,18.5,2093,39.5,33.7,4380.1,32487.2,548.5,1.3,16200,9728,0,12270.5,20.6,200,16256.5,14522.3,57608,62.6,26357.8,2865.8,63302,0,9197,204.6,16154.1,54,282007.3,4802,10469
"Prior+Duel noop",3941,2296.8,11477,375080,1192.7,395762,1503.1,35520,30276.5,46.7,98.9,366,7687.5,13185,162224,72878.6,-12.5,2306.4,41.3,33,7413,104368.2,238,-0.4,1792,10374.4,0,15572.5,20.9,206,18760.3,20607.6,62151,27.5,931.6,15311.5,125117,0,7553,245.9,33879.1,48,479197,12352,13886
"RAINBOW noop",9491.7,5131.2,14198.5,428200.3,2712.8,826659.5,1358,62010,16850.2,30,99.6,417.5,8167.3,16654,168788.5,111185.2,-0.3,2125.9,31.3,34,9590.5,70354.6,1419.3,1.1,14637.5,8741.5,384,13136,20.9,4234,33817.5,22920.8,62041,61.4,15898.9,18789,127029,0,12926,241,125754.6,5.5,533936.5,17862.5,22209.5
"REACTOR 500 noop",12689.1,1015.8,8323.3,205914,3726.1,302831,1259.7,64070,11033.4,81,99.4,514.8,3422,107779,236422,115154,23,2224.2,30.4,31.5,7932.2,89851,2041.8,10.7,11266.5,9896,2643.5,9543.8,20.6,15188.8,21509.2,17380.7,111310,70.4,20994.1,10153.9,79521.5,23.6,18841.5,275.4,70790.4,1653.5,496101,19530.5,27582.5
