name,Alien,Amidar,Assault,Asterix,Asteroids,Atlantis,Bank Heist,Battle Zone,Beam Rider,Bowling,Boxing,Breakout,Centipede,Chopper Command,Crazy Climber,Demon Attack,Double Dunk,Enduro,Fishing Derby,Freeway,Frostbite,Gopher,Gravitar,Ice Hockey,Kangaroo,Krull,Montezuma's Revenge,Name This Game,Pong,Private Eye,Q*Bert,River Raid,Road Runner,Robotank,Seaquest,Space Invaders,Star Gunner,Tennis,Time Pilot,Tutankham,Up and Down,Venture,Video Pinball,Wizard of Wor,Zaxxon
A3C-CTS,1945.66,861.14,2584.40,7922.70,2406.57,1801392.35,1182.89,7969.06,6723.89,75.97,15.75,473.93,5442.94,5088.17,112885.03,30930.33,-7.84,694.83,31.11,30.48,325.42,6611.28,238.68,-6.45,4883.53,8605.27,273.70,7021.30,20.75,99.32,19257.55,10712.54,50645.74,7.68,2015.55,1531.64,55233.43,-23.06,4103.00,112.14,23106.24,0.00,97372.80,3355.09,7451.25
Best linear,939.20,103.40,628.00,987.30,907.30,62687.00,190.80,15820.00,929.40,43.90,44.00,5.20,8803.00,1582.00,23411.00,520.50,-13.10,129.10,-89.50,19.10,216.90,1288.00,387.70,-9.50,1622.00,3372.00,10.70,2500.00,-19.00,684.30,613.50,1904.00,67.70,28.70,664.80,250.10,1070.00,-0.10,3741.00,114.30,3533.00,66.00,16871.00,1981.00,3365.00
C51 noop,3166.00,1735.00,7203.00,406211.00,1516.00,841075.00,976.00,28742.00,14074.00,81.80,97.80,748.00,9646.00,15600.00,179877.00,130955.00,2.50,3454.00,8.90,33.90,3965.00,33641.00,440.00,-3.50,12853.00,9735.00,0.00,12542.00,20.90,15095.00,23784.00,17322.00,55839.00,52.30,266434.00,5747.00,49095.00,23.10,8329.00,280.00,15612.00,1520.00,949604.00,9300.00,10513.00
DDQN (tuned) noop,3747.70,1793.30,5393.20,17356.50,734.70,106056.00,1030.60,31700.00,13772.80,68.10,91.60,418.50,5409.40,5809.00,117282.00,58044.20,-5.50,1211.80,15.50,33.30,1683.30,14840.80,412.00,-2.70,12992.00,7920.50,0.00,10616.00,20.90,129.70,15088.50,14884.50,44127.00,65.10,16452.70,2525.50,60142.00,-22.80,8339.00,218.40,22972.20,98.00,309941.90,7492.00,10163.00
DDQN+Pop-Art noop,3213.50,782.50,9011.60,18919.50,2869.30,340076.00,1103.30,8220.00,8299.40,102.10,99.30,344.10,49065.80,775.00,119679.00,63644.90,-11.50,2002.10,45.10,33.40,3469.60,56218.20,483.50,-4.10,13150.00,9745.10,0.00,15851.20,20.60,286.70,5236.80,12530.80,47770.00,64.30,10932.30,2589.70,589.00,12.10,4870.00,183.90,22474.40,1172.00,56287.00,483.00,14402.00
DQN noop,1620.00,978.00,4280.40,4359.00,1364.50,279987.00,455.00,29900.00,8627.50,50.40,88.00,385.50,4657.70,6126.00,110763.00,12149.40,-6.60,729.00,-4.90,30.80,797.40,8777.40,473.00,-1.90,7259.00,8422.30,0.00,8207.80,19.50,146.70,13117.30,7377.60,39544.00,63.90,5860.60,1692.30,54282.00,12.20,4870.00,68.10,9989.90,163.00,196760.40,2704.00,5363.00
Duel noop,4461.40,2354.50,4621.00,28188.00,2837.70,382572.00,1611.90,37150.00,12164.00,65.50,99.40,345.30,7561.40,11215.00,143570.00,60813.30,0.10,2258.20,46.40,0.00,4672.80,15718.40,588.00,0.50,14854.00,11451.90,0.00,11971.10,21.00,103.00,19220.30,21162.60,69524.00,65.30,50254.20,6427.30,89238.00,5.10,11666.00,211.40,44939.60,497.00,98209.50,7855.00,12944.00
ES FF (1 hour) noop,994.00,112.00,1673.90,1440.00,1562.00,1267410.00,225.00,16600.00,744.00,30.00,49.80,9.50,7783.90,3710.00,26430.00,1166.50,0.20,95.00,-49.00,31.00,370.00,582.00,805.00,-4.10,11200.00,8647.20,0.00,4503.00,21.00,100.00,147.50,5009.00,16590.00,11.90,1390.00,678.50,1470.00,-4.50,4970.00,130.30,67974.00,760.00,22834.80,3480.00,6380.00
Gorila,813.50,189.20,1195.80,3324.70,933.60,629166.50,399.40,19938.00,3822.10,54.00,74.20,313.00,6296.90,3191.80,65451.00,14880.10,-11.30,71.00,4.60,10.20,426.60,4373.00,538.40,-1.70,1431.00,6363.10,84.00,9238.50,16.70,2598.60,7089.80,5310.30,43079.80,61.80,10145.90,1183.30,14919.20,-0.70,8267.80,118.50,8747.70,523.40,112093.40,10431.00,6159.40
human.noop,7127.70,1719.50,742.00,8503.30,47388.70,29028.10,753.10,37187.50,16926.50,160.70,12.10,30.50,12017.00,7387.80,35829.40,1971.00,-16.40,860.50,-38.70,29.60,4334.70,2412.50,3351.40,0.90,3035.00,2665.50,4753.30,8049.00,14.60,69571.30,13455.00,17118.00,7845.00,11.90,42054.70,1668.70,10250.00,-8.30,5229.20,167.60,11693.20,1187.50,17667.90,4756.50,9173.30
