"name","Alien","Amidar","Assault","Asterix","Asteroids","Atlantis","Bank Heist","Battle Zone","Beam Rider","Berzerk","Bowling","Boxing","Breakout","Centipede","Chopper Command","Crazy Climber","Defender","Demon Attack","Double Dunk","Enduro","Fishing Derby","Freeway","Frostbite","Gopher","Gravitar","HERO","Ice Hockey","James Bond","Kangaroo","Krull","Kung-Fu Master","Montezuma's Revenge","Ms. Pacman","Name This Game","Phoenix","Pitfall!","Pong","Private Eye","Q*Bert","River Raid","Road Runner","Robotank","Seaquest","Skiing","Solaris","Space Invaders","Star Gunner","Surround","Tennis","Time Pilot","Tutankham","Up and Down","Venture","Video Pinball","Wizard of Wor","Yars Revenge","Zaxxon"
"A3C-CTS",1945.66,861.14,2584.4,7922.7,2406.57,1801392.35,1182.89,7969.06,6723.89,1863.6,75.97,15.75,473.93,5442.94,5088.17,112885.03,38976.66,30930.33,-7.84,694.83,31.11,30.48,325.42,6611.28,238.68,15210.62,-6.45,1001.19,4883.53,8605.27,28615.43,273.7,2401.04,7021.3,23818.47,-259.09,20.75,99.32,19257.55,10712.54,50645.74,7.68,2015.55,-22177.5,2270.15,1531.64,55233.43,-7.21,-23.06,4103,112.14,23106.24,0,97372.8,3355.09,13398.73,7451.25
"A3C FF (1 day) hs",182.1,283.9,3746.1,6723,3009.4,772392,946,11340,13235.9,1433.4,36.2,33.7,551.6,3306.5,4669,101624,36242.5,84997.5,0.1,-82.2,13.6,0.1,180.1,8442.8,269.5,28765.8,-4.7,351.5,106,8066.6,3046,53,594.4,5614,28181.8,-123,11.4,194.4,13752.3,10001.2,31769,2.3,2300.2,-13700,1884.8,2214.7,64393,-9.6,-10.2,5825,26.1,54525.4,19,185852.6,5278,7270.8,2659
"A3C FF hs",518.4,263.9,5474.9,22140.5,4474.5,911091,970.1,12950,22707.9,817.9,35.1,59.8,681.9,3755.8,7021,112646,56533,113308.4,-0.1,-82.5,18.8,0.1,190.5,10022.8,303.5,32464.1,-2.8,541,94,5560,28819,67,653.7,10476.1,52894.1,-78.5,5.6,206.9,15148.8,12201.8,34216,32.8,2355.4,-10911.1,1956,15730.5,138218,-9.7,-6.3,12679,156.3,74705.7,23,331628.1,17244,7157.5,24622
"A3C LSTM hs",945.3,173,14497.9,17244.5,5093.1,875822,932.8,20760,24622.2,862.2,41.8,37.3,766.8,1997,10150,138518,233021.5,115201.9,0.1,-82.5,22.6,0.1,197.6,17106.8,320,28889.5,-1.7,613,125,5911.4,40835,41,850.7,12093.7,74786.7,-135.7,10.7,421.1,21307.5,6591.9,73949,2.6,1326.1,-14863.8,1936.4,23846,164766,-8.3,-6.4,27202,144.2,105728.7,25,470310.5,18082,5615.5,23519
"Best linear",939.2,103.4,628,987.3,907.3,62687,190.8,15820,929.4,NA,43.9,44,5.2,8803,1582,23411,NA,520.5,-13.1,129.1,-89.5,19.1,216.9,1288,387.7,6459,-9.5,202.8,1622,3372,19544,10.7,1692,2500,NA,NA,-19,684.3,613.5,1904,67.7,28.7,664.8,NA,NA,250.1,1070,NA,-0.1,3741,114.3,3533,66,16871,1981,NA,3365
"C51 noop",3166,1735,7203,406211,1516,841075,976,28742,14074,1645,81.8,97.8,748,9646,15600,179877,47092,130955,2.5,3454,8.9,33.9,3965,33641,440,38874,-3.5,1909,12853,9735,48192,0,3415,12542,17490,0,20.9,15095,23784,17322,55839,52.3,266434,-13901,8342,5747,49095,6.8,23.1,8329,280,15612,1520,949604,9300,35050,10513
"DDQN-PC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DDQN (tuned) hs",1033.4,169.1,6060.8,16837,1193.2,319688,886,24740,17417.2,1011.1,69.6,73.5,368.9,3853.5,3495,113782,27510,69803.4,-0.3,1216.6,3.2,28.8,1448.1,15253,200.5,14892.5,-2.5,573,11204,6796.1,30207,42,1241.3,8960.3,12366.5,-186.7,19.1,-575.5,11020.8,10838.4,43156,59.1,14498,-11490.4,810,2628.7,58365,1.9,-7.8,6608,92.2,19086.9,21,367823.7,6201,6270.6,8593
"DDQN (tuned) noop",3747.7,1793.3,5393.2,17356.5,734.7,106056,1030.6,31700,13772.8,1225.4,68.1,91.6,418.5,5409.4,5809,117282,35338.5,58044.2,-5.5,1211.8,15.5,33.3,1683.3,14840.8,412,20130.2,-2.7,1358,12992,7920.5,29710,0,2711.4,10616,12252.5,-29.9,20.9,129.7,15088.5,14884.5,44127,65.1,16452.7,-9021.8,3067.8,2525.5,60142,-2.9,-22.8,8339,218.4,22972.2,98,309941.9,7492,11712.6,10163
"DDQN+Pop-Art noop",3213.5,782.5,9011.6,18919.5,2869.3,340076,1103.3,8220,8299.4,1199.6,102.1,99.3,344.1,49065.8,775,119679,11099,63644.9,-11.5,2002.1,45.1,33.4,3469.6,56218.2,483.5,14225.2,-4.1,507.5,13150,9745.1,34393,0,4963.8,15851.2,6202.5,-2.6,20.6,286.7,5236.8,12530.8,47770,64.3,10932.3,-13585.1,4544.8,2589.7,589,-2.5,12.1,4870,183.9,22474.4,1172,56287,483,21409.5,14402
