"name","value","Game","target"
"A3C FF (1 day) hs",182.1,"Alien",6875
"A3C FF (1 day) hs",283.9,"Amidar",1676
"A3C FF (1 day) hs",3746.1,"Assault",1496
"A3C FF (1 day) hs",6723,"Asterix",8503
"A3C FF (1 day) hs",3009.4,"Asteroids",13157
"A3C FF (1 day) hs",772392,"Atlantis",29028
"A3C FF (1 day) hs",946,"Bank Heist",734.4
"A3C FF (1 day) hs",11340,"Battle Zone",37800
"A3C FF (1 day) hs",13235.9,"Beam Rider",7456
"A3C FF (1 day) hs",1433.4,"Berzerk",2630.4
"A3C FF (1 day) hs",36.2,"Bowling",154.8
"A3C FF (1 day) hs",33.7,"Boxing",4.3
"A3C FF (1 day) hs",551.6,"Breakout",31.8
"A3C FF (1 day) hs",3306.5,"Centipede",11963
"A3C FF (1 day) hs",4669,"Chopper Command",9882
"A3C FF (1 day) hs",101624,"Crazy Climber",35411
"A3C FF (1 day) hs",84997.5,"Demon Attack",3401
"A3C FF (1 day) hs",0.1,"Double Dunk",-15.5
"A3C FF (1 day) hs",-82.2,"Enduro",309.6
"A3C FF (1 day) hs",13.6,"Fishing Derby",5.5
"A3C FF (1 day) hs",0.1,"Freeway",29.6
"A3C FF (1 day) hs",180.1,"Frostbite",4355
"A3C FF (1 day) hs",8442.8,"Gopher",2321
"A3C FF (1 day) hs",269.5,"Gravitar",2672
"A3C FF (1 day) hs",28765.8,"HERO",25763
"A3C FF (1 day) hs",-4.7,"Ice Hockey",0.9
"A3C FF (1 day) hs",351.5,"James Bond",406.7
"A3C FF (1 day) hs",106,"Kangaroo",3035
"A3C FF (1 day) hs",8066.6,"Krull",2395
"A3C FF (1 day) hs",3046,"Kung-Fu Master",22736
"A3C FF (1 day) hs",53,"Montezuma's Revenge",4367
"A3C FF (1 day) hs",594.4,"Ms. Pacman",15693
"A3C FF (1 day) hs",5614,"Name This Game",4076
"A3C FF (1 day) hs",11.4,"Pong",9.3
"A3C FF (1 day) hs",194.4,"Private Eye",69571
"A3C FF (1 day) hs",13752.3,"Q*Bert",13455
"A3C FF (1 day) hs",10001.2,"River Raid",13513
"A3C FF (1 day) hs",31769,"Road Runner",7845
"A3C FF (1 day) hs",2.3,"Robotank",11.9
"A3C FF (1 day) hs",2300.2,"Seaquest",20182
"A3C FF (1 day) hs",2214.7,"Space Invaders",1652
"A3C FF (1 day) hs",64393,"Star Gunner",10250
"A3C FF (1 day) hs",-10.2,"Tennis",-8.9
"A3C FF (1 day) hs",5825,"Time Pilot",5925
"A3C FF (1 day) hs",26.1,"Tutankham",167.6
"A3C FF (1 day) hs",54525.4,"Up and Down",9082
"A3C FF (1 day) hs",19,"Venture",1188
"A3C FF (1 day) hs",185852.6,"Video Pinball",17298
"A3C FF (1 day) hs",5278,"Wizard of Wor",4757
"A3C FF (1 day) hs",2659,"Zaxxon",9173
"A3C FF (1 day) hs",28181.8,"Phoenix",2665.5
"A3C FF (1 day) hs",-123,"Pitfall!",22736.3
"A3C FF (1 day) hs",-13700,"Skiing",13455
"A3C FF (1 day) hs",1884.8,"Solaris",17118
"A3C FF (1 day) hs",7270.8,"Yars Revenge",5650
"A3C FF (1 day) hs",36242.5,"Defender",18688.9
"A3C FF (1 day) hs",-9.6,"Surround",6.5
