Game,Human.noop,Human.hs,REACTOR.ND.noop,REACTOR.noop,REACTOR.500.noop,REACTOR.ND.hs,REACTOR.hs,REACTOR.500.hs,RAINBOW.noop,RAINBOW.hs
Alien,7127.7,6371.3,4199.4,6482.1,12689.1,924.1,2763.9,4958.6,9491.7,6022.9
Amidar,1719.5,1540.4,1546.8,833,1015.8,174.8,423,503.2,5131.2,202.8
Assault,742,628.9,17543.8,11013.5,8323.3,15041.2,9994.2,6713.8,14198.5,14491.7
Asterix,8503.3,7536,16121,36238.5,205914,7269.8,26240.8,191948,428200.3,280114
Asteroids,47388.7,36517.3,4467.4,2780.4,3726.1,3764.4,2771.3,4215,2712.8,2249.4
Atlantis,29028.1,26575,968179.5,308258,302831,897803.5,280809.5,274196,826659.5,814684
Bank Heist,753.1,644.5,1236.8,988.7,1259.7,852.8,710.1,876,1358,826
Battle Zone,37187.5,33030,98235,61220,64070,84985,52300,57075,62010,52040
Beam Rider,16926.5,14961,8811.8,8566.5,11033.4,9298.9,9941.6,12877,16850.2,21768.5
Berzerk,2630.4,2237.5,1515.7,1641.4,2303.1,1221.3,1186,1643.4,2545.6,1793.4
Bowling,160.7,146.5,59.3,75.4,81,63.7,72.4,76,30,39.4
Boxing,12.1,9.6,99.7,99.4,99.4,60.2,75.1,55.6,99.6,54.9
Breakout,30.5,27.9,509.5,518.4,514.8,459,465.5,478.4,417.5,379.5
Centipede,12017,10321.9,7267.2,3402.8,3422,3974.5,2584,2674.3,8167.3,7160.9
Chopper Command,7387.8,8930,19901.5,37568,107779,17312,33150,71442.5,16654,10916
Crazy Climber,35829.4,32667,173274,194347,236422,151295,182399,209784,168788.5,143962
Defender,18688.9,14296,181074.3,113128,223025,162327.5,110446.3,221671,55105,47671.3
Demon Attack,1971,3442.8,122782.5,100189,115154,120682.2,101435.4,113853,111185.2,109670.7
Double Dunk,-16.4,-14.4,23,11.4,23,22.2,11,22,-0.3,-0.6
Enduro,860.5,740.2,2211.3,2230.1,2224.2,2054.3,2127,2138.3,2125.9,2061.1
Fishing Derby,-38.7,5.1,33.1,23.2,30.4,23.2,17.7,21.7,31.3,22.6
Freeway,29.6,25.6,22.3,31.4,31.5,19.4,26.9,26.9,34,29.1
Frostbite,4334.7,4202.8,7136.7,8042.1,7932.2,3497.8,4358.7,4743.5,9590.5,4141.1
Gopher,2412.5,2311,36279.1,69135.1,89851,36286.2,60743.2,89306.8,70354.6,72595.7
Gravitar,3351.4,3116,1804.8,1073.8,2041.8,544,583,779.8,1419.3,567.5
HERO,30826.4,25839.4,27833,35542.2,43360.4,22673.3,30253.7,37833.4,55887.4,50496.8
Ice Hockey,0.9,0.5,15.7,3.4,10.7,11.1,0.9,4.9,1.1,-0.7
James Bond,302.8,368.5,14524,7869.2,16056.2,12655.3,6741,13987.5,19809,18142.3
Kangaroo,3035,2739,13349,10484.5,11266.5,9111,5143.5,5587.5,14637.5,10841
Krull,2665.5,2109.1,10237.8,9930.8,9896,7450.1,7815.9,7621.8,8741.5,6715.5
Kung-Fu Master,22736.3,20786.8,61621.5,59799.5,65836.5,48781.5,49767.9,55357.7,52181,28999.8
Montezuma Revenge,4753.3,4182,0,2643.5,2643.5,45,984,1045.5,384,154
Ms. Pacman,6951.6,15375,4416.9,2724.3,3749.2,1102.4,1714.6,2540.1,5380.4,2570.2
Name This Game,8049,6796,12636.5,9907.2,9543.8,11359.7,8288.8,8207.7,13136,11686.5
Phoenix,7242.6,6686.2,10261.4,40092.2,46536.4,8650.4,34956.5,41426.7,108528.6,103061.6
Pitfall!,6463.7,5998.9,-3.7,-3.5,-8.9,-99.2,-138.8,-146.9,0,-37.6
Pong,14.6,15.5,20.7,20.7,20.6,18.5,17.9,18,20.9,19
Private Eye,69571.3,64169.1,15198,15177.1,15188.8,5638.1,5751.4,5309.4,4234,1704.4
Q*Bert,13455,12085,21222.5,22956.5,21509.2,18117.8,20689.3,19505.8,33817.5,18397.6
River Raid,17118,14382.2,16957.3,16608.3,17380.7,12074,11987.3,13032.9,22920.8,15608.1
Road Runner,7845,6878,66790.5,71168,111310,58568.5,66247,97663.5,62041,54261
Robotank,11.9,8.9,71.8,68.5,70.4,67.1,63.7,64.2,61.4,55.2
Seaquest,42054.7,40425.8,5071.6,8425.8,20994.1,3802.3,10694,25887.9,15898.9,19176
Skiing,-4336.9,-3686.6,-10632.9,-10753.4,-10870.6,-9461.8,-11809.5,-11904.4,-12957.8,-11685.8
Solaris,12326.7,11032.6,2236,2760,2099.6,2000.1,1740.7,1728.3,3560.3,2860.7
Space Invaders,1668.7,1464.9,2387.1,2448.6,10153.9,1240.9,2010.2,7950.9,18789,12629
Star Gunner,10250,9528,48942,70038,79521.5,47532,67384.5,74451.5,127029,123853
Surround,6.5,5.4,0.9,6.7,7,0.3,5.1,5.5,9.7,7
Tennis,-8.3,-6.7,23.4,23.3,23.6,22.5,22.1,22.8,0,-2.2
Time Pilot,5229.2,5650,18871.5,19401,18841.5,15860.5,17205,16929.5,12926,11190.5
Tutankham,167.6,138.3,263.2,272.6,275.4,162.3,164.6,162.9,241,126.9
Up and Down,11693.2,9896.1,194989.5,64354.2,70790.4,123798.7,48148.6,49310.4,125754.6,92640.6
Venture,1187.5,1039,0,1597.5,1653.5,26,782,810,5.5,45
Video Pinball,17667.9,15641.1,261720.2,469366,496101,273249,484384.2,538975,533936.5,506817.2
Wizard of Wor,4756.5,4556,18484,13170.5,19530.5,15265.5,10995,16731.5,17862.5,14631.5
Yars Revenge,54576.9,47135.2,109607.5,102760,148855,87928.9,82113.5,129871,102557,93007.9
Zaxxon,9173.3,8443,16525,25215.5,27582.5,14155.5,20644,25147.5,22209.5,19658
